Source,Target,Capacity,Flow
0,1,1,0
0,12,2,0
0,18,1,0
0,36,1,0
0,38,2,0
0,40,1,0
0,73,1,0
0,75,1,0
0,79,2,0
0,81,1,0
0,85,2,0
0,91,1,0
0,97,2,0
1,2,2,0
1,3,1,0
1,13,2,0
1,15,2,0
1,24,2,0
1,37,1,0
1,55,2,0
1,67,1,0
1,73,1,0
1,75,1,0
1,81,1,0
1,91,1,0
1,97,2,0
2,0,2,0
2,3,1,0
2,12,2,0
2,15,1,0
2,18,2,0
2,24,2,0
2,36,1,0
2,37,1,0
2,38,2,0
2,40,1,0
2,45,1,0
2,54,1,0
2,73,2,0
2,75,1,0
2,79,2,0
2,81,1,0
2,91,1,0
3,0,2,0
3,15,2,0
3,24,1,0
3,37,2,0
3,38,1,0
3,55,2,0
3,67,2,0
3,73,1,0
3,81,1,0
4,32,2,0
4,53,2,0
4,68,2,0
4,69,1,0
4,92,2,0
4,94,1,0
4,95,1,0
4,96,2,0
5,8,2,0
5,10,1,0
5,19,1,0
5,28,1,0
5,33,2,0
5,39,2,0
5,50,1,0
5,58,2,0
5,61,1,0
5,65,2,0
5,66,1,0
5,72,1,0
5,83,1,0
5,86,1,0
5,99,2,0
6,5,1,0
6,19,2,0
6,25,1,0
6,31,2,0
6,50,2,0
6,56,1,0
6,59,1,0
6,76,2,0
6,87,2,0
7,22,2,0
7,43,2,0
7,47,1,0
7,61,2,0
7,62,2,0
8,6,2,0
8,19,1,0
8,31,2,0
8,35,1,0
8,37,2,0
8,39,2,0
8,42,2,0
8,61,1,0
8,62,2,0
8,66,2,0
8,72,1,0
8,76,1,0
8,77,2,0
8,78,2,0
8,83,1,0
8,86,2,0
8,87,1,0
8,99,2,0
9,18,2,0
9,29,1,0
9,35,2,0
9,39,2,0
9,57,1,0
9,66,1,0
9,88,1,0
9,94,2,0
10,11,2,0
10,17,1,0
10,21,2,0
10,22,2,0
10,35,2,0
10,43,1,0
10,86,2,0
10,98,1,0
10,99,1,0
11,5,1,0
11,7,2,0
11,21,1,0
11,22,1,0
