Source,Target,Capacity,Flow
0,13,1,0
0,36,1,0
0,51,1,0
0,87,2,0
0,93,1,0
1,9,2,0
1,18,2,0
1,22,1,0
1,29,1,0
1,39,2,0
1,44,1,0
1,62,1,0
1,64,2,0
1,84,2,0
1,99,2,0
2,41,2,0
2,47,2,0
2,63,2,0
2,73,1,0
2,83,2,0
3,10,2,0
3,80,1,0
4,14,1,0
4,37,2,0
4,38,1,0
4,45,2,0
4,50,2,0
4,61,1,0
4,72,2,0
4,76,2,0
4,96,2,0
5,0,1,0
5,13,1,0
5,55,1,0
5,93,2,0
6,0,1,0
6,5,2,0
6,13,2,0
6,55,1,0
6,68,1,0
6,91,2,0
7,41,2,0
7,46,2,0
7,79,1,0
8,1,2,0
8,9,2,0
8,29,2,0
8,31,1,0
8,77,1,0
8,92,2,0
9,22,1,0
9,31,1,0
9,40,1,0
9,43,2,0
9,54,2,0
9,57,1,0
9,78,2,0
9,81,1,0
9,92,2,0
9,97,2,0
10,7,2,0
10,12,2,0
10,53,1,0
10,80,1,0
11,4,2,0
11,14,1,0
11,26,1,0
11,38,1,0
11,72,1,0
11,96,2,0
12,2,2,0
12,48,2,0
12,52,2,0
12,63,2,0
12,73,1,0
12,83,2,0
12,89,2,0
13,32,1,0
13,87,2,0
13,91,2,0
13,93,2,0
14,24,2,0
14,37,1,0
14,38,1,0
14,45,2,0
14,61,2,0
14,72,2,0
14,76,2,0
15,23,2,0
15,88,1,0
16,51,2,0
16,71,1,0
17,4,2,0
17,14,1,0
17,24,1,0
17,26,1,0
17,33,1,0
17,38,1,0
17,58,2,0
17,75,1,0
18,8,2,0
18,25,2,0
18,31,2,0
18,39,2,0
18,40,1,0
18,48,2,0
18,90,1,0
19,20,1,0
19,46,2,0
19,53,2,0
20,28,1,0
20,46,1,0
20,79,2,0
20,94,1,0
21,54,1,0
21,81,2,0
22,8,1,0
22,18,1,0
22,30,2,0
22,44,2,0
22,54,1,0
22,57,2,0
22,60,1,0
22,78,1,0
22,92,2,0
23,5,1,0
23,87,1,0
24,20,1,0
24,26,1,0
24,33,1,0
24,37,1,0
24,38,2,0
24,61,2,0
24,72,2,0
24,76,1,0
24,94,2,0
