Source,Target,Capacity,Flow
0,21,20,0
0,32,28,0
0,41,16,0
0,48,29,0
0,51,24,0
0,61,4,0
0,78,18,0
0,79,46,0
0,94,17,0
1,6,28,0
1,19,38,0
1,20,9,0
1,24,6,0
1,31,38,0
1,39,33,0
1,62,47,0
1,63,24,0
1,66,44,0
1,71,46,0
1,74,44,0
1,91,18,0
1,92,19,0
1,93,35,0
2,12,30,0
2,14,23,0
2,22,18,0
2,34,43,0
2,38,16,0
2,44,17,0
2,53,11,0
2,56,16,0
2,64,29,0
2,70,26,0
2,80,34,0
2,95,46,0
3,65,22,0
3,68,22,0
3,86,36,0
3,89,40,0
4,13,21,0
4,27,47,0
4,72,44,0
4,73,41,0
4,93,25,0
5,1,29,0
5,4,10,0
5,13,1,0
5,19,1,0
5,23,15,0
5,43,13,0
5,62,39,0
5,72,33,0
5,85,37,0
5,91,41,0
5,93,8,0
6,30,24,0
6,39,31,0
6,40,17,0
6,41,19,0
6,42,49,0
6,63,37,0
6,71,23,0
6,79,32,0
6,85,32,0
6,96,29,0
7,0,46,0
7,21,49,0
7,35,48,0
7,46,40,0
7,48,41,0
7,49,24,0
7,51,49,0
7,54,36,0
7,61,15,0
7,90,20,0
7,94,17,0
8,1,4,0
8,6,37,0
8,9,29,0
8,11,39,0
8,20,46,0
8,24,2,0
8,28,25,0
8,31,38,0
8,34,45,0
8,35,37,0
8,42,39,0
8,63,39,0
8,98,49,0
8,99,44,0
9,1,10,0
9,3,38,0
9,6,32,0
9,24,38,0
9,39,35,0
9,41,1,0
9,42,11,0
9,63,21,0
9,65,17,0
9,96,24,0
10,2,40,0
10,11,28,0
10,12,32,0
10,15,48,0
10,25,31,0
10,34,45,0
10,38,8,0
10,56,30,0
10,58,42,0
10,59,46,0
10,67,24,0
10,70,5,0
10,95,32,0
10,98,13,0
11,2,48,0
11,12,5,0
11,19,16,0
11,22,1,0
11,34,41,0
11,38,42,0
11,40,23,0
11,44,15,0
11,45,31,0
11,76,46,0
11,78,28,0
11,80,48,0
11,81,38,0
11,84,48,0
11,98,2,0
12,8,23,0
12,16,45,0
12,28,13,0
12,29,34,0
12,30,11,0
12,39,19,0
12,59,12,0
12,60,41,0
12,61,5,0
12,70,46,0
12,80,16,0
12,82,39,0
12,95,26,0
12,99,25,0
13,23,18,0
13,27,38,0
13,34,20,0
13,43,13,0
13,50,11,0
13,62,49,0
13,73,49,0
13,76,20,0
14,12,33,0
14,16,48,0
14,18,23,0
14,21,2,0
14,29,23,0
14,36,31,0
14,55,36,0
14,59,36,0
14,60,32,0
14,70,50,0
14,78,25,0
14,79,29,0
14,84,16,0
14,88,1,0
14,95,24,0
14,97,34,0
14,98,45,0
14,99,50,0
15,5,5,0
15,11,42,0
15,13,15,0
15,23,11,0
15,27,39,0
15,34,2,0
15,50,40,0
15,58,9,0
15,62,45,0
15,70,46,0
15,71,50,0
15,76,6,0
15,81,2,0
15,95,4,0
16,2,50,0
16,29,28,0
16,54,46,0
16,55,27,0
16,59,50,0
16,60,31,0
16,61,9,0
16,82,17,0
16,94,35,0
16,97,22,0
16,98,21,0
16,99,43,0
17,10,47,0
17,22,25,0
17,26,10,0
17,37,9,0
17,44,32,0
17,47,35,0
17,53,34,0
17,56,10,0
17,67,33,0
17,81,43,0
17,84,37,0
18,2,29,0
18,16,6,0
18,29,19,0
18,32,36,0
18,59,21,0
18,61,14,0
18,82,20,0
18,88,31,0
18,94,45,0
19,6,39,0
19,8,10,0
19,15,24,0
19,24,9,0
19,27,30,0
19,34,1,0
19,39,48,0
19,40,8,0
19,62,10,0
19,70,36,0
19,71,38,0
19,74,15,0
19,75,48,0
19,92,3,0
19,93,16,0
20,6,26,0
20,9,38,0
20,24,27,0
20,28,38,0
20,31,37,0
20,35,3,0
20,39,37,0
20,40,29,0
20,42,48,0
20,51,38,0
20,77,49,0
20,79,40,0
20,99,42,0
21,12,31,0
21,16,27,0
21,18,8,0
21,28,50,0
21,36,26,0
21,48,37,0
21,49,28,0
21,54,33,0
21,59,5,0
21,60,24,0
21,61,46,0
21,64,21,0
21,79,19,0
21,88,8,0
21,90,43,0
21,94,34,0
21,97,49,0
21,98,8,0
22,10,5,0
22,26,4,0
22,37,37,0
22,44,20,0
22,45,46,0
22,53,41,0
22,57,19,0
22,67,33,0
22,95,44,0
22,98,6,0
23,1,7,0
23,4,29,0
23,19,22,0
23,34,40,0
23,62,22,0
23,66,7,0
23,74,4,0
24,6,10,0
24,28,11,0
24,30,27,0
24,31,49,0
24,39,24,0
24,41,46,0
24,51,49,0
24,66,19,0
24,75,50,0
24,78,40,0
24,79,47,0
24,92,21,0
25,2,46,0
25,17,20,0
25,22,46,0
25,37,29,0
25,44,42,0
25,53,22,0
25,56,26,0
25,59,6,0
25,67,6,0
25,70,34,0
25,95,50,0
26,25,33,0
26,33,49,0
26,37,2,0
26,44,21,0
26,53,19,0
26,57,10,0
26,67,14,0
26,84,9,0
27,5,27,0
27,11,2,0
27,23,4,0
27,34,49,0
27,43,5,0
27,45,31,0
27,50,4,0
27,58,15,0
27,71,19,0
27,72,32,0
27,73,5,0
27,93,39,0
28,2,5,0
28,6,49,0
28,11,27,0
28,14,43,0
28,30,21,0
28,31,16,0
28,35,27,0
28,39,30,0
28,42,37,0
28,51,23,0
28,56,29,0
28,59,26,0
28,78,7,0
28,79,3,0
29,2,36,0
29,21,1,0
29,28,40,0
29,32,36,0
29,55,22,0
29,56,25,0
29,60,19,0
29,88,19,0
29,98,9,0
30,0,15,0
30,8,50,0
30,9,20,0
30,14,31,0
30,20,35,0
30,35,9,0
30,39,48,0
30,46,32,0
30,49,32,0
30,51,39,0
30,60,49,0
30,63,36,0
30,77,19,0
30,79,31,0
30,83,33,0
30,98,34,0
31,6,46,0
31,9,50,0
31,19,45,0
31,30,34,0
31,35,23,0
31,39,32,0
31,42,42,0
31,63,39,0
31,96,38,0
31,99,27,0
32,7,48,0
32,12,32,0
32,14,37,0
32,16,25,0
32,21,28,0
32,35,23,0
32,59,22,0
32,60,43,0
32,61,24,0
32,82,15,0
32,88,37,0
32,94,29,0
32,99,35,0
33,17,37,0
33,22,42,0
33,25,4,0
33,37,16,0
33,38,14,0
33,53,19,0
34,22,28,0
34,43,13,0
34,62,46,0
34,70,35,0
34,76,27,0
34,80,27,0
34,81,35,0
34,92,29,0
34,98,39,0
35,0,33,0
35,21,44,0
35,39,28,0
35,60,20,0
35,64,29,0
35,78,45,0
35,82,5,0
35,83,20,0
35,99,20,0
36,0,5,0
36,7,38,0
36,16,48,0
36,29,4,0
36,32,25,0
36,35,23,0
36,46,12,0
36,51,40,0
36,54,17,0
36,61,24,0
36,64,31,0
36,69,50,0
36,82,42,0
36,83,22,0
36,88,32,0
36,90,7,0
36,97,36,0
36,99,12,0
37,2,40,0
37,10,50,0
37,53,33,0
