Source,Target,Capacity,Flow
0,14,32,0
0,31,35,0
0,42,44,0
0,48,7,0
0,55,31,0
0,61,30,0
0,64,25,0
0,84,20,0
0,91,13,0
0,99,40,0
0,105,30,0
0,109,48,0
0,115,36,0
0,132,40,0
0,143,29,0
0,148,19,0
0,162,33,0
0,165,37,0
0,183,1,0
0,194,31,0
1,5,30,0
1,30,8,0
1,44,11,0
1,46,46,0
1,56,35,0
1,61,31,0
1,63,10,0
1,64,26,0
1,72,35,0
1,129,46,0
1,132,29,0
1,152,2,0
1,161,43,0
1,166,36,0
1,169,8,0
1,182,3,0
1,183,49,0
1,194,40,0
1,198,5,0
2,9,29,0
2,25,1,0
2,36,43,0
2,83,19,0
2,86,45,0
2,92,49,0
2,100,14,0
2,104,6,0
2,124,20,0
2,126,29,0
2,147,22,0
2,179,40,0
2,191,7,0
3,0,21,0
3,1,11,0
3,5,33,0
3,10,28,0
3,27,33,0
3,30,12,0
3,43,35,0
3,56,24,0
3,61,29,0
3,64,48,0
3,79,12,0
3,87,8,0
3,105,42,0
3,120,19,0
3,121,37,0
3,132,50,0
3,144,4,0
3,150,12,0
3,162,3,0
3,166,34,0
3,170,40,0
3,194,16,0
4,17,11,0
4,28,49,0
4,47,3,0
4,49,26,0
4,50,25,0
4,71,48,0
4,72,20,0
4,74,21,0
4,75,35,0
4,76,28,0
4,82,4,0
4,90,42,0
4,96,46,0
4,103,22,0
4,105,47,0
4,120,40,0
4,134,20,0
4,142,9,0
4,144,1,0
4,154,33,0
4,162,32,0
4,164,23,0
4,165,27,0
4,174,6,0
4,175,50,0
5,0,33,0
5,11,17,0
5,13,31,0
5,27,12,0
5,30,4,0
5,55,26,0
5,64,47,0
5,65,34,0
5,72,20,0
5,79,48,0
5,80,28,0
5,84,6,0
5,103,11,0
5,105,10,0
5,120,15,0
5,132,49,0
5,150,18,0
5,152,29,0
5,166,24,0
5,175,31,0
5,183,13,0
5,194,5,0
5,197,30,0
6,1,5,0
6,3,5,0
6,5,15,0
6,10,5,0
6,43,40,0
6,44,43,0
6,63,3,0
6,64,35,0
6,79,14,0
6,97,9,0
6,132,20,0
6,170,42,0
6,183,2,0
6,194,33,0
7,8,40,0
7,16,45,0
7,21,13,0
7,22,7,0
7,34,4,0
7,45,7,0
7,51,23,0
7,54,41,0
7,62,32,0
7,66,9,0
7,68,34,0
7,71,18,0
7,75,1,0
7,77,18,0
7,87,21,0
7,96,34,0
7,98,45,0
7,118,2,0
7,121,35,0
7,128,36,0
7,141,5,0
7,144,3,0
7,153,7,0
7,176,17,0
7,180,26,0
7,197,4,0
8,16,25,0
8,29,45,0
8,34,3,0
8,35,6,0
8,45,28,0
8,54,5,0
8,59,47,0
8,66,29,0
8,68,47,0
8,75,40,0
8,77,30,0
8,82,36,0
8,96,32,0
8,98,11,0
8,108,49,0
8,114,49,0
8,141,20,0
8,149,37,0
8,153,40,0
8,155,23,0
8,160,14,0
8,163,49,0
8,181,42,0
9,17,36,0
9,20,39,0
9,25,34,0
9,36,36,0
9,38,35,0
9,47,26,0
9,54,19,0
9,69,43,0
9,83,18,0
9,92,39,0
9,94,42,0
9,122,47,0
9,123,40,0
9,125,12,0
9,126,24,0
9,127,25,0
9,136,33,0
9,147,48,0
9,158,23,0
9,159,39,0
9,178,27,0
9,184,25,0
10,0,16,0
10,1,28,0
10,5,42,0
10,11,31,0
10,14,47,0
10,61,17,0
10,63,6,0
10,79,3,0
10,84,38,0
10,91,11,0
10,97,42,0
10,103,16,0
10,105,47,0
10,119,39,0
10,150,5,0
10,165,11,0
10,169,25,0
10,170,24,0
10,171,31,0
10,183,38,0
10,194,36,0
10,198,6,0
11,0,50,0
11,1,7,0
11,3,49,0
11,6,34,0
11,14,1,0
11,27,6,0
11,30,31,0
11,42,28,0
11,43,18,0
11,56,5,0
11,64,13,0
11,79,15,0
11,80,19,0
11,87,49,0
11,103,26,0
11,105,18,0
11,120,48,0
11,132,31,0
11,146,6,0
11,162,21,0
11,165,8,0
11,170,8,0
11,182,47,0
11,197,13,0
11,198,15,0
12,7,6,0
12,8,21,0
12,18,25,0
12,21,28,0
12,44,15,0
12,51,16,0
12,59,10,0
12,68,13,0
12,77,30,0
12,87,38,0
12,96,47,0
12,98,17,0
12,113,44,0
12,146,37,0
12,153,29,0
12,156,46,0
12,166,38,0
12,176,6,0
13,0,35,0
13,10,48,0
13,11,27,0
13,14,37,0
13,23,16,0
13,48,32,0
13,55,45,0
13,61,43,0
13,63,2,0
13,65,10,0
13,67,33,0
13,78,45,0
13,79,42,0
13,80,23,0
13,84,49,0
13,99,5,0
13,105,45,0
13,120,23,0
13,132,16,0
13,150,29,0
13,154,48,0
13,167,20,0
13,182,47,0
13,188,9,0
14,1,50,0
14,3,40,0
14,5,14,0
14,6,6,0
14,27,12,0
14,43,6,0
14,56,17,0
14,61,22,0
14,63,10,0
14,72,43,0
14,79,6,0
14,80,4,0
14,105,22,0
14,129,47,0
14,146,8,0
14,162,43,0
14,165,22,0
14,166,13,0
14,169,6,0
14,171,44,0
15,19,16,0
15,26,34,0
15,39,6,0
15,40,37,0
15,41,36,0
15,48,1,0
15,50,16,0
15,57,30,0
15,60,33,0
15,65,29,0
15,67,13,0
15,78,5,0
15,80,20,0
15,85,49,0
15,93,29,0
15,95,20,0
15,107,29,0
15,112,29,0
15,133,17,0
15,139,32,0
15,143,26,0
15,154,15,0
15,164,40,0
15,167,30,0
15,168,40,0
15,174,44,0
15,186,26,0
15,199,41,0
16,12,21,0
16,18,41,0
16,22,44,0
16,29,41,0
16,45,24,0
16,51,5,0
16,56,8,0
16,75,16,0
16,98,19,0
16,106,15,0
16,111,50,0
16,118,44,0
16,153,36,0
16,160,12,0
16,176,46,0
16,190,33,0
17,20,47,0
17,24,14,0
17,29,27,0
