Timestamp,File,source,sink,strategy,max_flow,longest_acyclic_path,number_paths,mean_length,MPL,total_edges
2023-12-11 12:52:48,graph1.csv,0,254,sap,1638,28,73,4.123,0.147,9711
2023-12-11 12:52:51,graph1.csv,0,254,dfslike,1638,28,334,20.207,0.722,9711
2023-12-11 12:52:52,graph1.csv,0,254,maxcap,1638,28,33,8.03,0.287,9711
2023-12-11 12:52:53,graph1.csv,0,254,random,1638,28,87,5.609,0.2,9711
2023-12-11 12:52:55,graph3.csv,0,400,sap,1611,31,92,4.62,0.149,27091
2023-12-11 12:53:18,graph3.csv,0,400,dfslike,1611,31,870,24.592,0.793,27091
2023-12-11 12:53:19,graph3.csv,0,400,maxcap,1611,31,35,8.829,0.285,27091
2023-12-11 12:53:22,graph3.csv,0,400,random,1611,31,111,6.396,0.206,27091
2023-12-11 12:53:24,graph2.csv,0,29,sap,1438,39,91,5.341,0.137,16920
2023-12-11 12:53:34,graph2.csv,0,29,dfslike,1438,39,628,23.693,0.608,16920
2023-12-11 12:53:35,graph2.csv,0,29,maxcap,1438,39,31,14.742,0.378,16920
2023-12-11 12:53:37,graph2.csv,0,29,random,1438,39,119,7.723,0.198,16920
