Source,Target,Capacity,Flow
0,2,87,0
0,4,15,0
0,8,62,0
0,11,62,0
0,14,19,0
0,15,11,0
0,27,75,0
0,39,56,0
0,55,15,0
0,56,82,0
0,57,92,0
0,84,100,0
0,87,71,0
0,93,6,0
0,94,61,0
0,103,27,0
0,106,84,0
0,119,47,0
0,123,13,0
0,142,51,0
0,143,97,0
0,150,68,0
0,151,10,0
0,163,56,0
0,168,60,0
0,169,48,0
0,170,72,0
0,184,26,0
0,203,35,0
0,228,46,0
0,236,92,0
0,242,94,0
0,248,63,0
0,249,57,0
0,267,69,0
0,268,5,0
0,269,7,0
0,274,76,0
0,286,100,0
0,290,80,0
0,297,6,0
0,301,18,0
0,302,38,0
0,308,34,0
0,316,24,0
0,324,6,0
0,327,13,0
0,333,4,0
0,334,99,0
0,336,23,0
0,356,19,0
0,372,90,0
0,373,8,0
0,381,98,0
0,389,63,0
0,394,83,0
0,395,78,0
1,0,6,0
1,4,79,0
1,14,68,0
1,25,87,0
1,27,50,0
1,28,44,0
1,39,56,0
1,44,22,0
1,58,52,0
1,74,5,0
1,78,71,0
1,84,31,0
1,103,53,0
1,123,52,0
1,131,26,0
1,143,98,0
1,151,96,0
1,167,99,0
1,170,17,0
1,192,11,0
1,208,24,0
1,227,84,0
1,249,87,0
1,269,6,0
1,274,53,0
1,290,25,0
1,298,3,0
1,301,11,0
1,307,97,0
1,325,96,0
1,340,39,0
1,344,68,0
1,352,24,0
1,356,90,0
1,369,88,0
1,372,55,0
1,390,82,0
1,392,10,0
2,1,81,0
2,4,13,0
2,11,73,0
2,15,43,0
2,27,88,0
2,31,60,0
2,39,72,0
2,49,51,0
2,54,70,0
2,55,66,0
2,56,71,0
2,65,1,0
2,74,15,0
2,96,49,0
2,119,83,0
2,124,40,0
2,151,63,0
2,153,81,0
2,155,17,0
2,169,98,0
2,170,46,0
2,171,60,0
2,177,20,0
2,182,38,0
2,196,71,0
2,227,54,0
2,242,96,0
2,254,13,0
2,268,11,0
2,274,65,0
2,281,20,0
2,285,3,0
2,290,67,0
2,299,22,0
2,301,54,0
2,308,93,0
2,316,9,0
2,356,90,0
2,369,18,0
2,381,17,0
2,390,81,0
2,394,80,0
3,10,42,0
3,13,97,0
3,17,69,0
3,20,98,0
3,30,93,0
3,53,48,0
3,64,55,0
3,66,14,0
3,76,18,0
3,80,67,0
3,101,40,0
3,112,10,0
3,113,37,0
3,132,95,0
3,138,17,0
3,152,88,0
3,156,38,0
3,157,32,0
3,166,47,0
3,187,9,0
3,205,67,0
3,216,80,0
3,223,14,0
3,229,49,0
3,230,78,0
3,238,66,0
3,240,11,0
3,253,34,0
3,265,18,0
3,266,90,0
3,279,39,0
3,280,93,0
3,296,60,0
3,309,18,0
3,312,11,0
3,313,29,0
3,320,62,0
3,330,28,0
3,338,48,0
3,347,90,0
3,351,49,0
3,367,35,0
3,382,25,0
3,388,25,0
4,14,14,0
4,25,76,0
4,27,14,0
4,38,87,0
4,56,79,0
4,74,36,0
4,77,39,0
4,78,12,0
4,94,82,0
4,104,51,0
4,123,4,0
4,144,88,0
4,160,7,0
4,170,69,0
4,175,62,0
4,192,82,0
4,201,98,0
4,227,80,0
4,234,50,0
4,245,87,0
4,248,34,0
4,249,26,0
4,251,58,0
4,254,49,0
4,268,46,0
4,276,74,0
4,277,67,0
4,278,67,0
4,281,35,0
4,282,4,0
4,286,20,0
4,297,99,0
4,299,77,0
4,301,96,0
4,306,57,0
4,307,4,0
4,317,24,0
4,327,30,0
4,332,85,0
4,336,36,0
4,340,82,0
4,356,63,0
4,372,30,0
4,377,58,0
4,394,10,0
5,7,45,0
5,45,41,0
5,46,76,0
5,50,16,0
5,67,75,0
5,72,34,0
5,79,46,0
5,88,76,0
5,90,45,0
5,93,88,0
5,95,32,0
5,98,80,0
5,111,20,0
5,115,53,0
5,122,44,0
5,125,32,0
5,126,71,0
5,127,82,0
5,129,56,0
5,134,60,0
5,136,83,0
5,139,35,0
5,140,42,0
5,147,24,0
5,148,80,0
5,150,40,0
5,158,90,0
5,159,50,0
5,161,31,0
5,163,97,0
5,176,16,0
5,181,28,0
5,185,73,0
5,210,2,0
5,213,69,0
5,218,53,0
5,220,45,0
5,231,63,0
5,233,28,0
5,239,10,0
5,241,41,0
5,256,99,0
5,261,90,0
5,270,42,0
5,271,11,0
5,273,39,0
5,283,32,0
5,288,18,0
5,289,29,0
5,292,13,0
5,333,58,0
5,345,31,0
5,355,92,0
5,358,45,0
5,362,76,0
5,364,53,0
5,371,43,0
5,389,10,0
5,398,93,0
6,5,48,0
6,8,31,0
6,18,79,0
6,21,38,0
6,41,94,0
6,43,18,0
6,49,26,0
6,57,62,0
6,63,21,0
6,66,48,0
6,72,33,0
6,87,100,0
6,91,99,0
6,124,28,0
6,129,77,0
6,141,42,0
6,146,7,0
6,154,90,0
6,157,27,0
6,158,25,0
6,159,90,0
6,161,87,0
6,165,42,0
6,180,21,0
6,185,18,0
6,207,92,0
6,215,79,0
6,218,29,0
6,219,43,0
6,226,34,0
6,231,24,0
6,240,99,0
6,243,33,0
6,253,62,0
6,258,93,0
6,264,66,0
6,267,24,0
6,268,61,0
6,283,52,0
6,304,11,0
6,311,70,0
6,312,89,0
6,324,26,0
6,334,10,0
6,366,18,0
6,367,81,0
6,376,66,0
6,384,46,0
6,386,9,0
6,389,42,0
6,398,27,0
7,24,7,0
7,26,12,0
7,33,15,0
7,36,12,0
7,50,93,0
7,61,35,0
7,69,95,0
7,73,48,0
7,85,51,0
7,89,37,0
7,99,42,0
7,114,56,0
7,116,34,0
7,117,79,0
7,121,69,0
7,125,2,0
7,130,17,0
7,133,38,0
7,136,72,0
7,145,62,0
7,148,63,0
7,154,67,0
7,165,100,0
7,174,12,0
7,176,85,0
7,185,96,0
7,186,86,0
7,214,9,0
7,217,3,0
7,220,89,0
7,226,29,0
7,239,64,0
7,246,21,0
7,258,94,0
7,283,5,0
7,321,9,0
